"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"59","64","Tanzania","Dar es Salaam","MAJI MATITU B","07-05-2019","15430","4116",15430,2019,26469.78125,19676.1328125,16825.046875,23610.77734375,10014.7021484375,17086.884765625,14862.5546875,22402.69140625,25.1255855560303,9291.4287109375,2192.79760742188,26469.78125,1175877.40408911
"60","65","Tanzania","Dar es Salaam","MAJI MATITU C","14-11-2016","21200","2152",21200,2016,9037.845703125,6718.23095703125,8079.3310546875,8659.7763671875,4688.16357421875,11902.4169921875,9945.943359375,13851.697265625,7.8850679397583,4169.20068359375,3674.61254882812,9037.845703125,369021.194268184
"61","66","Tanzania","Dar es Salaam","MAKANGARAWE","30-11-2017","30420","3510",30420,2017,22105.78515625,16432.140625,16041.21875,20945.576171875,7439.4384765625,21805.060546875,17947.705078125,24507.943359375,13.4704895019531,7243.8759765625,5416.99609375,22105.78515625,630418.898157656
"62","67","Tanzania","Dar es Salaam","MAKUTI A","07-12-2017","4088","473",4088,2017,5129.0712890625,3976.44995117188,4132.8876953125,6399.97607421875,1603.90710449219,4352.345703125,3827.57836914062,7655.244140625,2.60474801063538,1402.80407714844,1825.34423828125,5129.0712890625,121902.206077653
"63","69","Tanzania","Dar es Salaam","MALELA","05-12-2016","3000","485",3000,2016,8136.46923828125,6048.1982421875,408.115295410156,3314.24682617188,5338.47607421875,2360.65869140625,1985.34826660156,3583.73974609375,71.3023529052734,2153.64697265625,721.469421386719,8136.46923828125,3336949.93581493
"64","70","Tanzania","Dar es Salaam","MAMBOLEO A","12-02-2019","4200","649",4200,2019,3501.74536132812,2587.44970703125,2427.330078125,4795.53369140625,1314.75268554688,3449.61206054688,2925.9033203125,6092.1533203125,1.70250713825226,1224.36657714844,1199.71350097656,3501.74536132812,79677.3340575639
"65","71","Tanzania","Dar es Salaam","MAMBOLEO B","01-12-2017","7200","615",7200,2017,5063.07666015625,3733.08862304688,3253.34497070312,7385.314453125,1687.14929199219,5193.48876953125,4402.26171875,7264.65185546875,2.65486478805542,1790.86267089844,1754.83422851562,5063.07666015625,124247.677626239
"66","72","Tanzania","Dar es Salaam","MANDELA","29-11-2017","8860","1058",8860,2017,22632.669921875,16842.63671875,7235.58251953125,15641.23828125,5179.19775390625,13977.056640625,11612.513671875,14982.41015625,10.8594398498535,8165.34619140625,9655.84375,22632.669921875,508221.77868703
"67","73","Tanzania","Dar es Salaam","MANGAYA","06-05-2019","8554","555",8554,2019,9686.4052734375,7200.33447265625,5110.37890625,7968.4892578125,3164.232421875,8408.67578125,6939.23291015625,10551.39453125,6.24575614929199,3926.33813476562,3847.17114257812,9686.4052734375,292301.395893907
"68","74","Tanzania","Dar es Salaam","MASAKI","14-11-2016","2015","2107",2015,2016,9801.00390625,7285.5205078125,1120.86840820312,5212.546875,7215.89208984375,3722.44897460938,3173.18139648438,4277.5615234375,64.3249206542969,4185.1484375,735.338012695312,9801.00390625,3010406.17670779
"69","75","Tanzania","Dar es Salaam","MASULIZA","29-11-2017","3632","382",3632,2017,5410.4931640625,4041.57568359375,1625.09069824219,4885.29736328125,5832.7587890625,3878.68041992188,3228.09643554688,3810.81127929688,52.006175994873,3232.33862304688,1254.37902832031,5410.4931640625,2466204.42758574
"70","76","Tanzania","Dar es Salaam","MATUMBI","29-11-2017","9090","5430",9090,2017,8333.8388671875,6073.83056640625,2772.03466796875,5966.22802734375,2403.74243164062,6028.18408203125,4999.2919921875,7188.2333984375,4.33421421051025,2947.4091796875,3470.77270507812,8333.8388671875,202841.235750696
"71","77","Tanzania","Dar es Salaam","MAZIZINI","06-12-2016","38500","2275",38500,2016,17737.0703125,12691.673828125,15458.8271484375,16544.109375,15243.13671875,21054.771484375,17917.6484375,25344.669921875,42.3483619689941,9603.99609375,8709.0595703125,17737.0703125,1981903.22257955
"72","78","Tanzania","Dar es Salaam","MBAGALA","06-12-2016","49768","1314",49768,2016,15030.2060546875,11172.619140625,7756.43017578125,13067.921875,4862.921875,11753.1435546875,10004.1318359375,14456.337890625,10.340763092041,5576.41357421875,4303.2666015625,15030.2060546875,483947.707662782
"73","79","Tanzania","Dar es Salaam","MBANDE MAGENGENI","05-12-2016","31248","2604",31248,2016,6495.5537109375,4828.43701171875,6876.17431640625,7820.697265625,9739.673828125,7303.35107421875,6396.59033203125,8413.7021484375,26.2626361846924,6610.013671875,240.631561279297,6495.5537109375,1351106.68190539
"74","80","Tanzania","Dar es Salaam","MBUYUNI","20-12-2017","51776","2471",51776,2017,15902.251953125,11820.8486328125,11548.4267578125,15438.7119140625,4645.81494140625,12867.7744140625,10804.201171875,16292.7421875,6.71763134002686,3447.59790039062,3294.50854492188,15902.251953125,314385.141821861
"75","81","Tanzania","Dar es Salaam","MCHIKICHINI","14-11-2016","45000","2375",45000,2016,14321.501953125,10645.8076171875,12085.7353515625,15616.513671875,8145.06640625,18165.890625,15220.24609375,21205.5390625,14.8642177581787,6301.04833984375,3549.00366210938,14321.501953125,695645.388200675
"76","83","Tanzania","Dar es Salaam","MIANZINI","06-12-2016","35340","4445",35340,2016,25957.673828125,19295.48828125,16351.361328125,20356.88671875,10585.3251953125,26656.060546875,22574.123046875,27706.681640625,24.1423034667969,10447.1318359375,8805.6845703125,25957.673828125,1129859.78049346
"77","84","Tanzania","Dar es Salaam","MIDIZINI","20-12-2017","5368","803",5368,2017,9478.623046875,7348.5576171875,5762.69775390625,8734.884765625,2299.00830078125,8699.44140625,7641.7568359375,9624.2548828125,2.98032712936401,3919.0625,5086.1396484375,9478.623046875,139479.302610997
"78","85","Tanzania","Dar es Salaam","MIEMBENI","29-11-2017","42252","2895",42252,2017,58802.8515625,42076.08984375,38738.5859375,51278.16796875,11675.25,47972.5,38626.6953125,44934.37890625,30.4964904785156,13879.5625,14711.1044921875,58802.8515625,1427235.74972081
"79","86","Tanzania","Dar es Salaam","MIKOROSHONI","06-12-2017","10818","665",10818,2017,3128.55444335938,2425.49609375,2187.33251953125,3169.36352539062,4295.1533203125,2934.95751953125,2477.80688476562,8289.7578125,5.5576696395874,11264.3837890625,15924.162109375,3128.55444335938,343408.555085216
"80","87","Tanzania","Dar es Salaam","MIKWAMBE CCM","05-12-2016","6464","844",6464,2016,6025.57763671875,4479.0791015625,4493.1416015625,7366.3525390625,6932.76025390625,4759.474609375,4091.68603515625,5033.13671875,32.9116821289062,4207.109375,1825.18103027344,6025.57763671875,2863410.52950023
"81","88","Tanzania","Dar es Salaam","MINAZI MIREFU","29-11-2017","25522","1849",25522,2017,61275.98046875,44135.17578125,26940.318359375,43775.66796875,15515.8701171875,38343.97265625,31395.708984375,48635.86328125,31.2730350494385,12967.6796875,13527.126953125,61275.98046875,1463578.02503607
"82","89","Tanzania","Dar es Salaam","MISHENI","30-11-2017","7440","889",7440,2017,6469.89794921875,4809.3623046875,4441.5712890625,6011.53759765625,3521.24365234375,6311.841796875,5343.0673828125,8100.6640625,7.99513101577759,3154.1884765625,3090.93603515625,6469.89794921875,374172.126071408
"83","90","Tanzania","Dar es Salaam","MJI MPYA","05-12-2017","10566","598",10566,2017,16278.06640625,12100.2080078125,11043.078125,14030.291015625,3599.5537109375,17325.798828125,14547.7734375,15244.18359375,7.04706287384033,9153.01171875,8768.2763671875,16278.06640625,329802.535065569
"84","91","Tanzania","Dar es Salaam","MJIMPYA","01-03-2019","22885","2802",22885,2019,17666.201171875,12642.275390625,8538.705078125,17280.28125,5382.1669921875,17444.482421875,14721.7978515625,23706.498046875,7.99337577819824,4873.623046875,4147.5830078125,17666.201171875,374089.97905035
"85","92","Tanzania","Dar es Salaam","MKONDOGWA","08-05-2019","48000","4843",48000,2019,22826.712890625,16946.662109375,12563.0595703125,19780.05078125,20227.681640625,15420.85546875,12396.265625,18754.27734375,62.8611831665039,15532.8671875,3368.12060546875,22826.712890625,2941903.3344942
"01","1","South Africa","Cape Town","KENSITE","1991","288","100",288,2018,52.1974601745605,47.9913940429688,45.2353897094727,104.14933013916,29.5248165130615,72.6489181518555,69.6419982910156,76.5660781860352,0.0485133305191994,5.41306829452515,4.85115003585815,52.1974601745605,1773.08643927611
"110","2","South Africa","Cape Town","KUKU TOWN","1985","235","21",235,2018,6.20063734054565,5.70099067687988,7.23451519012451,7.78188610076904,4.75276565551758,4.37169122695923,4.4859447479248,8.77066993713379,0.0306810978800058,16.639627456665,17.8465805053711,6.20063734054565,1121.34616450506
"210","3","South Africa","Cape Town","LINDELANI PARK","1992","1760","445",1760,2018,321.907318115234,295.968048095703,277.3212890625,251.61279296875,101.954444885254,189.136138916016,177.917831420898,215.353546142578,0.331169843673706,27.1851711273193,14.1731338500977,321.907318115234,12103.7410432696
"310","4","South Africa","Cape Town","LOTUS","2003","10500","1599",10500,2018,2068.00659179688,1901.36694335938,1543.76867675781,3484.54516601562,1018.548828125,2525.40307617188,2346.50512695312,2789.654296875,1.88248598575592,514.3017578125,564.354125976562,2068.00659179688,68801.9225302439
"410","5","South Africa","Cape Town","LWAZI PARK","1994","320","38",320,2017,96.5957260131836,88.8120498657227,68.6659927368164,107.270278930664,28.1623344421387,100.751518249512,92.7509994506836,50.0310249328613,0.128756031394005,50.0476188659668,57.9677848815918,96.5957260131836,4705.83185957372
"510","6","South Africa","Cape Town","MARIKANA","2012","785","157",785,2018,161.382461547852,148.378295898438,306.074157714844,352.187530517578,119.802116394043,279.518707275391,281.632568359375,302.050109863281,0.226890698075294,61.0431861877441,71.5382080078125,161.382461547852,8292.50051185442
"610","7","South Africa","Cape Town","MASILUNGE AB","1991","392","64",392,2018,75.6935882568359,69.5942077636719,35.861499786377,54.7542839050293,40.1437644958496,33.273509979248,31.8318824768066,64.5289993286133,0.0888165384531021,24.0162296295166,24.5797214508057,75.6935882568359,3246.1056421008
